SMILES,Activity_type,Activity_value,Activity_unit
[H][C@@]1(CCc2cc(ccc12)C#Cc1ccc(CN2CCOCC2)cc1)N[C@H](C(=O)NO)C(C)(C)O,IC50,0.400,nM
C[C@](OCc1ccc(cc1)-c1ccccc1)([C@@H](O)c1ccn[nH]1)C(=O)NO,IC50,0.400,nM
C[C@](OCc1ccc(cc1)-c1ccccc1)([C@@H](O)c1ccon1)C(=O)NO,IC50,0.400,nM
CSc1cccc(c1)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.417,nM
CC(CCc1ccc(cc1F)-c1ccc(cc1)C#N)(C(=O)NO)S(C)(=O)=O,IC50,0.427,nM
CC#Cc1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,KD,0.440,nM
CC(CCc1ccc(cc1)C1=CCCCC1)(C(=O)NO)S(C)(=O)=O,IC50,0.441,nM
Cc1cccc(c1C)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.444,nM
CC(CCc1ccc(cc1)-c1ccccc1Cl)(C(=O)NO)S(C)(=O)=O,IC50,0.448,nM
CC(CCc1ccc(cc1F)-c1cnc2ccccc2c1)(C(=O)NO)S(C)(=O)=O,IC50,0.463,nM
C[C@@](CCc1ccc(cc1)-c1ccc(OCCCN2CCCCC2)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.467,nM
